"Study ID","Author, Year (Study level)","Study Class","Study Publication Year","Treatment Focus (Study level)","Treatment Focus (Arm level)","Treatment Focus Subclass (Arm level)","Total N Randomized","Intervention Group","Arm N Randomized","Arm N Randomized Detail","Treatment Name","Standardized Treatment Name","Treatment Description","Psychotherapy","Psychotherapy Subclass","Pharmacotherapy","Pharmacotherapy Subclass","CIH","CIH Subclass","Nonpharmacologic Biologic","Nonpharmacologic Cognitive","Control","Other Study Class","Collaborative Care","Format","Delivery Method","Dose","Session Length","Frequency","Treatment Duration","Treatment Duration Detail","Completed Treatment Definition","Completed Treatment Percent","Completed Treatment Percent Detail","Participant Adherence Definition","Participants Adhered Percent","Participants Adhered Percent Detail","Psychotherapy Sessions Completed Mean","Psychotherapy Sessions Completed Standard deviation","Psychotherapy Sessions Completed Detail","Dose at Study End Point Mean","Dose at Study End Point Standard deviation","Dose at Study End Point Detail","Race/Ethnicity Reported (Study level)","Military Status (Study level)","Female Percent (Study level)","Trauma Type (Study level)","Trauma Detail (Study level)","Risk of Bias Rating (Study level)","Citation","PTSDpubs ID","Year Added to PTSD Repository"
"alon2022_A","alon2022","Nonpharmacologic cognitive","2022","PTSD","PTSD",,"60","A","30",,"Attention control training","Attention bias modification (ABM)","Remotely delivered training balancing attention between threatening and neutral stimuli. Two images of faces presented, one with neutral and one with angry expression, with arrowhead pointing right (‘>’) or left (‘<’) by one of the faces until response. Arrowhead appeared next to each image with equal probability.","No",,"No",,"No",,"No","Yes","No","No","No","Individual","Technology assisted",,,"Twice weekly","4","Eight sessions over 4 weeks","Completed all sessions",,,,,,,,,,,,"Not reported","Community","33.3%","Mixed","Combat-related; Rape/sexual assault; Accidents; Illness/medical procedure; Community/school violence; Terrorism/political violence/forced displacement","Low","Alon Y, Azriel O, Pine DS, et al. A randomized controlled trial of supervised remotely-delivered attention bias modification for posttraumatic stress disorder. Psychol Med. 2022 Feb 8:1-10. doi: 10.1017/S003329172200023X. PMID: 35132952.","1587317","2023"
"alon2022_B","alon2022","Nonpharmacologic cognitive","2022","PTSD","Active Control",,"60","B","30",,"Attention bias modification","Attention bias modification (ABM)","Remotely delivered training directing attention away from threatening stimulus. Two images of faces presented, one with neutral and one with angry expression, with arrowhead pointing from angry to neutral face.","No",,"No",,"No",,"No","Yes","Yes","No","No","Individual","Technology assisted",,,"Twice weekly","4","Eight sessions over 4 weeks","Completed all sessions",,,,,,,,,,,,"Not reported","Community","33.3%","Mixed","Combat-related; Rape/sexual assault; Accidents; Illness/medical procedure; Community/school violence; Terrorism/political violence/forced displacement","Low","Alon Y, Azriel O, Pine DS, et al. A randomized controlled trial of supervised remotely-delivered attention bias modification for posttraumatic stress disorder. Psychol Med. 2022 Feb 8:1-10. doi: 10.1017/S003329172200023X. PMID: 35132952.","1587317","2023"
"alsheikhali2020_A","alsheikhali2020","Psychotherapy","2020","PTSD","PTSD",,"40","A","20",,"Group counseling","Non-trauma-focused counseling","Group counseling program consisting of four domains: alienation; loss and grief; hope and hopelessness; psychological problems. Sessions targeted these domains and used psycho-education techniques and teaching coping strategies.","Yes","Non-Trauma-focused","No",,"No",,"No","No","No","No","No","Group","In Person",,,"Twice a week","6","""program was implemented for 1.5 months, two sessions per week""",,,,,,,,,,,,,"Not reported","Community","100%","Terrorism/political violence/forced displacement",,"High","Alsheikh Ali ASS. Efficiency of Intervention Counseling Program on the Enhanced Psychological Well-being and Reduced Post-traumatic Stress Disorder Symptoms Among Syrian Women Refugee Survivors. Clin Pract Epidemiol Ment Health. 2020 Jul 30;16(Suppl-1):134-141. doi: 10.2174/1745017902016010134. PMID: 33029190; PMCID: PMC7536727.","1558371","2022"
"alsheikhali2020_B","alsheikhali2020","Psychotherapy","2020","PTSD","Inactive Control",,"40","B","20",,"No treatment","No treatment","No psychological support or psychiatric medications","No",,"No",,"No",,"No","No","Yes","No","No",,,,,,"6",,,,,,,,,,,,,,"Not reported","Community","100%","Terrorism/political violence/forced displacement",,"High","Alsheikh Ali ASS. Efficiency of Intervention Counseling Program on the Enhanced Psychological Well-being and Reduced Post-traumatic Stress Disorder Symptoms Among Syrian Women Refugee Survivors. Clin Pract Epidemiol Ment Health. 2020 Jul 30;16(Suppl-1):134-141. doi: 10.2174/1745017902016010134. PMID: 33029190; PMCID: PMC7536727.","1558371","2022"
"angelakis2020_A","angelakis2020","Psychotherapy","2020","PTSD","Active Control",,"52","A","18",,"Cogntive Processing Therapy","Cognitive Processing Therapy (CPT)","Manualized therapy using 12-session protocol focused on teaching skills to identify and challenge trauma-related beliefs; up to 3 additional sessions offered based on clinical need to address residual symptoms.","Yes","Trauma-focused","No",,"No",,"No","No","Yes","No","No","Individual","In Person",,"60 minutes",,,"12-15 sessions total","≥12 sessions attended",,,,,,"7.5","6.38",,,,,"Race data reported","Community","92%","Mixed","Accidents; Child physical abuse; Child sexual abuse; Rape/sexual assault; Community/school violence; Natural or manmade disasters; Terrorism/political violence/forced displacement; Other (traumatic loss)","Low","Angelakis S, Weber N, Nixon RDV. Comorbid posttraumatic stress disorder and major depressive disorder: The usefulness of a sequential treatment approach within a randomised design. J Anxiety Disord. 2020 Dec;76:102324. doi: 10.1016/j.janxdis.2020.102324. Epub 2020 Oct 20. PMID: 33137600.","1560706","2022"
"angelakis2020_B","angelakis2020","Psychotherapy","2020","PTSD","PTSD",,"52","B","17","18 allocated, 1 ""withdrawn due to medication status""","Behavioral Activation/Cognitive Processing Therapy","Behavioral activation (BA) followed by Cognitive Processing Therapy (CPT)","BA (5 sessions) followed by CPT (10 sessions). BA: manualized therapy for depression ""focused on the link between behavior and mood and involved psychoeducation, activity monitoring, and scheduling of mastery and pleasure tasks""; CPT: manualized therapy focused on teaching skills to identify and challenge trauma-related beliefs, content delivery was modified to fit content of 12-session protocol into 10 sessions.","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"60-90 minutes",,,"15 sessions total; 10 sessions CPT (12 hours total) + 5 sessions BA (5 hours total)","≥12 sessions attended",,,,,,"8.06","6.63",,,,,"Race data reported","Community","92%","Mixed","Accidents; Child physical abuse; Child sexual abuse; Rape/sexual assault; Community/school violence; Natural or manmade disasters; Terrorism/political violence/forced displacement; Other (traumatic loss)","Low","Angelakis S, Weber N, Nixon RDV. Comorbid posttraumatic stress disorder and major depressive disorder: The usefulness of a sequential treatment approach within a randomised design. J Anxiety Disord. 2020 Dec;76:102324. doi: 10.1016/j.janxdis.2020.102324. Epub 2020 Oct 20. PMID: 33137600.","1560706","2022"
"angelakis2020_C","angelakis2020","Psychotherapy","2020","PTSD","PTSD",,"52","C","17",,"Cognitive Processing Therapy/Behavioral Activation","Cognitive Processing Therapy (CPT) followed by Behavioral activation (BA)","CPT (10 sessions) followed by BA (5 sessions). Same content as arm B, in reverse order. CPT: manualized therapy focused on teaching skills to identify and challenge trauma-related beliefs, content delivery was modified to fit content of 12-session protocol into 10 sessions; BA: manualized therapy for depression ""focused on the link between behavior and mood and involved psychoeducation, activity monitoring, and scheduling of mastery and pleasure tasks"".","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"60-90 minutes",,,"15 sessions total; 5 sessions BA (5 hours total) + 10 sessions CPT (12 hours total)","≥12 sessions attended",,,,,,"11.47","6.03",,,,,"Race data reported","Community","92%","Mixed","Accidents; Child physical abuse; Child sexual abuse; Rape/sexual assault; Community/school violence; Natural or manmade disasters; Terrorism/political violence/forced displacement; Other (traumatic loss)","Low","Angelakis S, Weber N, Nixon RDV. Comorbid posttraumatic stress disorder and major depressive disorder: The usefulness of a sequential treatment approach within a randomised design. J Anxiety Disord. 2020 Dec;76:102324. doi: 10.1016/j.janxdis.2020.102324. Epub 2020 Oct 20. PMID: 33137600.","1560706","2022"
"ardani2017_A","ardani2017","Pharmacotherapy","2017","PTSD","PTSD",,"36","A","12",,"Rivastigmine augmentation","Rivastigmine augmentation","Acetylcholinesterase inhibitor; augmentation of treatment with citalopram and valproate; randomized following 4-week run-in with citalopram and valproate; rivastigmine 3 mg (total daily dose) for 4 weeks then 6 mg (total daily dose) for 8 weeks.","No",,"Yes","Other pharmacotherapy","No",,"No","No","No","No","No","Individual","In Person","3 mg (total daily dose 6 mg); titration: 1.5 mg for 4 weeks (total daily dose 3 mg) then 3 mg for 8 weeks (total daily dose 6 mg)",,"Twice Daily","12",,,,,"used ""Standard compliance checklist""",,,,,,,,,"Not reported","Veteran","0%","Combat-related",,"Some Concerns","Ardani AR, Hosseini G, Bordbar MRF, et al. Effect of rivastigmine augmentation in treatment of male patients with combat-related chronic posttraumatic stress disorder: a randomized controlled trial. J Clin Psychopharmacol. 2017 Feb;37(1):54-60. doi: 10.1097/jcp.0000000000000624. PMID: 27930500.","47465","2019"
"ardani2017_B","ardani2017","Pharmacotherapy","2017","PTSD","Active Control",,"36","B","12",,"Placebo augmentation","Placebo augmentation","Placebo identical to rivastigmine; after 4-week run-in with citalopram and valproate, randomized to placebo for 8 weeks in addition to treatment with citalopram and valproate.","No",,"No",,"No",,"No","No","Yes","No","No","Individual","In Person",,,,"12",,,,,"used ""Standard compliance checklist""",,,,,,,,,"Not reported","Veteran","0%","Combat-related",,"Some Concerns","Ardani AR, Hosseini G, Bordbar MRF, et al. Effect of rivastigmine augmentation in treatment of male patients with combat-related chronic posttraumatic stress disorder: a randomized controlled trial. J Clin Psychopharmacol. 2017 Feb;37(1):54-60. doi: 10.1097/jcp.0000000000000624. PMID: 27930500.","47465","2019"
"ardani2017_C","ardani2017","Pharmacotherapy","2017","PTSD","Active Control",,"36","C","12",,"TAU","Treatment as usual (TAU)","After 4-week run-in with citalopram and valproate, randomized to no additional medications for 8 weeks, and continued routine medications (citalopram and valproate as established in run-in).","No",,"No",,"No",,"No","No","Yes","No","No","Individual","In Person",,,,"12",,,,,"used ""Standard compliance checklist""",,,,,,,,,"Not reported","Veteran","0%","Combat-related",,"Some Concerns","Ardani AR, Hosseini G, Bordbar MRF, et al. Effect of rivastigmine augmentation in treatment of male patients with combat-related chronic posttraumatic stress disorder: a randomized controlled trial. J Clin Psychopharmacol. 2017 Feb;37(1):54-60. doi: 10.1097/jcp.0000000000000624. PMID: 27930500.","47465","2019"
"arntz2007_A","arntz2007","Psychotherapy","2007","PTSD","PTSD",,"67","A","28",,"Imaginal Exposure + Imagery Rescripting","Imaginal exposure + imagery rescripting","Imaginal exposure portion based on program by Foa & Rothbaum (1989) with 60 minutes of imagery work each session; 3 sessions of imaginal exposure only, then 6 sessions focused on identifying and imagining reacting as they wished they had done, until a satisfying response could be used repetitively in imagery.","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"90 minutes","Weekly","10",,"completed ≥8 sessions",,,,,,,,,,,,"Not reported","Community","65.67%","Mixed","rape/sexual assault, accidents, community/school violence, other (witnessing trauma of others, unspecified childhood trauma)","High","Arntz A, Tiesema M, Kindt M. Treatment of PTSD: a comparison of imaginal exposure with and without imagery rescripting. J Behav Ther Exp Psychiatry. 2007 Dec;38(4):345-70. doi: 10.1016/j.jbtep.2007.10.006. PMID: 18005935.","30284","2019"
"arntz2007_B","arntz2007","Psychotherapy","2007","PTSD","Active Control",,"67","B","39",,"IE","Imaginal exposure","Based on the program by Foa & Rothbaum (1989) with 60 minutes of imagery exposure, but no in vivo exposure. Homework to listen to audiotaped exposure session 5 days per week and complete Standard Homework Diary Forms, which were reviewed at each therapy session.","Yes","Trauma-focused","No",,"No",,"No","No","Yes","No","No","Individual","In Person",,"90 minutes","Weekly","10",,"completed ≥8 sessions",,,,,,,,,,,,"Not reported","Community","65.67%","Mixed","rape/sexual assault, accidents, community/school violence, other (witnessing trauma of others, unspecified childhood trauma)","High","Arntz A, Tiesema M, Kindt M. Treatment of PTSD: a comparison of imaginal exposure with and without imagery rescripting. J Behav Ther Exp Psychiatry. 2007 Dec;38(4):345-70. doi: 10.1016/j.jbtep.2007.10.006. PMID: 18005935.","30284","2019"
"arntz2007_C","arntz2007","Psychotherapy","2007","PTSD","Inactive Control",,"67","C","21",,"Waitlist","Waitlist","Waitlist group created when waiting time to treatment increased ""to about 3 months"" at which time participants were informed they would start treatment after waiting period.","No",,"No",,"No",,"No","No","Yes","No","No",,,,,,"10 to 15",,"completed treatment course",,,,,,,,,,,,"Not reported","Community","65.67%","Mixed","rape/sexual assault, accidents, community/school violence, other (witnessing trauma of others, unspecified childhood trauma)","High","Arntz A, Tiesema M, Kindt M. Treatment of PTSD: a comparison of imaginal exposure with and without imagery rescripting. J Behav Ther Exp Psychiatry. 2007 Dec;38(4):345-70. doi: 10.1016/j.jbtep.2007.10.006. PMID: 18005935.","30284","2019"
"astillwright2023_A","astillwright2023","Psychotherapy","2023","PTSD","PTSD",,"40","A","20",,"Rewind psychotherapy protocol","Trauma-focused psychotherapy","Trauma-focused protocol targeting reconsolidation of traumatic memories; ""employs a 'rewinding' technique - where the participant imagines that they are in a cinema watching a film of her/his traumatic event, the participant then enters the screen and relives their trauma memory in reverse very quickly. It is theorised that this rewinding may utilise mechanisms such as exposure, extinction, and reconsolidation to alleviate PTSD symptoms""","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","Video",,"60 minutes",,"8","Up to 3 sessions over 8 weeks, specific timing NR","Treatment completion",,"Not further described",,,,,,"Provided only for combined arms after waitlist received intervention",,,,"Race data reported","Community","57.5%","Mixed","Rape/sexual assault; Illness/medical procedure; Accidents; Community/school violence; Combat-related; Child physical abuse; Other (""serious injury, harm, or death you caused to someone else""; ""severe human suffering"", ""sudden violent death"", ""any other very stressful event or experience"")","High","Astill Wright L, Barawi K, Kitchiner N, et al. Rewind for posttraumatic stress disorder: a randomised controlled trial. Depress Anxiety. 2023;2023, Article ID 6279649:1-11. doi: 10.1155/2023/6279649.","1643768","2024"
"astillwright2023_B","astillwright2023","Psychotherapy","2023","PTSD","Inactive Control",,"40","B","20",,"Waitlist","Waitlist","Waitlist","No",,"No",,"No",,"No","No","Yes","No","No","Individual",,,,,"8",,,,,,,,,,,,,,"Race data reported","Community","57.5%","Mixed","Rape/sexual assault; Illness/medical procedure; Accidents; Community/school violence; Combat-related; Child physical abuse; Other (""serious injury, harm, or death you caused to someone else""; ""severe human suffering"", ""sudden violent death"", ""any other very stressful event or experience"")","High","Astill Wright L, Barawi K, Kitchiner N, et al. Rewind for posttraumatic stress disorder: a randomised controlled trial. Depress Anxiety. 2023;2023, Article ID 6279649:1-11. doi: 10.1155/2023/6279649.","1643768","2024"
